Year,Month,Day,Flag.Tsunami,Flag.Earthquake,Volcano.Name,Location,Country,Elevation,Volcano.Type,Status,Volcanic.Explosivity.Index,Volcano...Deaths,Volcano...Deaths.Description,Volcano...Missing,Volcano...Missing.Description,Volcano...Injuries,Volcano...Injuries.Description,Volcano...Damage..in.M..,Volcano...Damage.Description,Volcano...Houses.destroyed,Volcano...Houses.destroyed.Description,Total.Effects...Deaths,Total.Effects...Deaths.Description,Total.Effects...Missing,Total.Effects...Missing.Description,Total.Effects...Injuries,Total.Effects...Injuries.Description,Total.Effects...Damages.in.million.Dollars,Total.Effects...Damage.Description,Total.Effects...Houses.Destroyed,Total.Effects...Houses.Destroyed.Description,Coordinates,Earthquakes...Houses.damaged.Description,Total.Effects...Houses.Damaged.Description,RowNumber
-141,8.0,15.39258114374034,,,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,,40.0,Few (~1 to 50 deaths),,,,,,,,,40.0,Few (~1 to 50 deaths),,,,,,,,,37.734,,,1
1262,8.0,15.39258114374034,,,Katla,Iceland-S,Iceland,1512.0,Subglacial volcano,Historical,3.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,63.63,,,2
1300,7.0,11.0,,,Hekla,Iceland-S,Iceland,1491.0,Stratovolcano,Historical,4.0,,,,,,,,,,,600.0,Many (~101 to 1000 deaths),,,,,,,,,63.98,,,3
1331,12.0,15.39258114374034,,,Aso,Kyushu-Japan,Japan,1592.0,Caldera,Historical,2.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,32.88,,,4
1714,6.0,30.0,Tsunami,,Vesuvius,Italy,Italy,1281.0,Complex volcano,Historical,,,,,,,,,,,,,,,,,,,,,,40.821,,,5
1907,10.0,6.0,Tsunami,,Savai'i,Samoa-SW Pacific,Samoa,1858.0,Shield volcano,Historical,,,,,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),-13.612,,,6
1911,8.0,15.0,,,Asama,Honshu-Japan,Japan,2560.0,Complex volcano,Historical,2.0,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,36.4,,,7
1913,1.0,20.0,,,Colima,Mexico,Mexico,3850.0,Stratovolcano,Historical,4.0,13.0,Few (~1 to 50 deaths),,,,,,,,,13.0,Few (~1 to 50 deaths),,,,,,,,,19.514,,,8
1944,6.0,10.0,,,Cleveland,Aleutian Is,United States,1730.0,Stratovolcano,Historical,3.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,52.82,,,9
1952,9.0,16.0,Tsunami,,Myojun Knoll,Izu Is-Japan,Japan,360.0,Submarine volcano,Holocene,2.0,,,,,,,,,,,,,,,,,,,,,32.1,,,10
1960,5.0,25.0,Tsunami,Earthquake,Puyehue,Chile-C,Chile,2236.0,Stratovolcano,Holocene,3.0,,,,,,,,,,,,,,,,,,,,,-40.59,,,11
1971,10.0,26.0,,,La Palma,Canary Is,Spain,2426.0,Stratovolcano,Historical,2.0,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,28.58,,,12
1972,10.0,9.0,Tsunami,,Ritter Island,New Guinea-NE of,Papua New Guinea,140.0,Stratovolcano,Historical,1.0,,,,,,,,,,,,,,,,,,,,,-5.52,,,13
1979,4.0,13.0,,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,1220.0,Stratovolcano,Historical,3.0,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,13.33,,,14
1983,10.0,3.0,,Earthquake,Miyake-jima,Izu Is-Japan,Japan,815.0,Stratovolcano,Historical,3.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,MODERATE (~$1 to $5 million),,,34.08,,,15
1984,10.0,16.0,,,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,3.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,37.734,,,16
1990,10.0,19.0,,,Aso,Kyushu-Japan,Japan,1592.0,Caldera,Historical,2.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,32.88,,,17
1991,12.0,14.0,,,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,2.0,,,,,,,2.5,MODERATE (~$1 to $5 million),,,,,,,,,2.5,MODERATE (~$1 to $5 million),,,37.734,,,18
1994,2.0,3.0,,,Semeru,Java,Indonesia,3676.0,Stratovolcano,Historical,3.0,6.0,Few (~1 to 50 deaths),,,,,,,,,6.0,Few (~1 to 50 deaths),,,,,,,,,-8.108,,,19
2007,7.0,7.0,,,Salak,Java,Indonesia,2211.0,Stratovolcano,Historical,,6.0,Few (~1 to 50 deaths),,,,,,,,,6.0,Few (~1 to 50 deaths),,,,,,,,,-6.72,,,20
2017,6.0,6.0,,,Fuego,Guatemala,Guatemala,3763.0,Stratovolcano,Historical,2.0,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,MODERATE (~$1 to $5 million),,,14.473,,,21
2017,9.0,23.0,,,Aoba,Vanuatu-SW Pacific,Vanuatu,1496.0,Shield volcano,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-15.4,,,22
2018,3.0,30.0,,,Aoba,Vanuatu-SW Pacific,Vanuatu,1496.0,Shield volcano,Historical,3.0,4.0,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,Few (~1 to 50 houses),4.0,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,Few (~1 to 50 houses),-15.4,,,23
2019,8.0,28.0,Tsunami,,Stromboli,Italy,Italy,926.0,Stratovolcano,Historical,2.0,,,,,,,,,,,,,,,,,,,,,38.789,,,24
1593,8.0,15.39258114374034,,,Raung,Java,Indonesia,3332.0,Stratovolcano,Historical,5.0,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-8.125,,,25
1609,8.0,15.39258114374034,,,Tengchong,China-S,China,2865.0,Pyroclastic cone,Historical,,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,25.32,,,26
1692,6.0,4.0,,,Serua,Banda Sea,Pacific Ocean,641.0,Stratovolcano,Historical,4.0,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,-6.3,,,27
1718,2.0,1.0,,,Pico,Azores,Portugal,2351.0,Stratovolcano,Historical,2.0,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,38.47,,,28
1846,5.0,7.0,,,Taupo,New Zealand,New Zealand,760.0,Caldera,Radiocarbon,,63.0,Some (~51 to 100 deaths),,,,,,,,,63.0,Some (~51 to 100 deaths),,,,,,,,,-38.82,,,29
1866,2.0,20.0,,,Santorini,Greece,Greece,329.0,Shield volcano,Historical,2.0,1.0,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,,,1.0,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,,,36.404,,,30
1877,2.0,14.0,Tsunami,Earthquake,Mauna Loa,Hawaiian Is,United States,4170.0,Shield volcano,Historical,0.0,,,,,,,,,,,,,,,,,,,,,19.475,,,31
1883,12.0,15.39258114374034,,,Bagana,Bougainville-SW Paci,Papua New Guinea,1750.0,Lava cone,Historical,3.0,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,-6.14,,,32
1886,8.0,31.0,,,Niuafo'ou,Tonga-SW Pacific,Tonga,260.0,Shield volcano,Historical,4.0,,Few (~1 to 50 deaths),,Few (~1 to 50 deaths),,,,,,,,Few (~1 to 50 deaths),,Few (~1 to 50 deaths),,,,,,,-15.6,,,33
1896,3.0,15.0,,,Kirishima,Kyushu-Japan,Japan,1700.0,Shield volcano,Historical,2.0,1.0,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,1.0,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,31.93,,,34
1902,5.0,8.0,Tsunami,,Pelee,W Indies,Martinique,1397.0,Stratovolcano,Historical,4.0,28000.0,Very Many (~1001 or more deaths),,,,,,,,,28000.0,Very Many (~1001 or more deaths),,,,,,,,,14.82,,,35
1914,8.0,15.39258114374034,,,Aoba,Vanuatu-SW Pacific,Vanuatu,1496.0,Shield volcano,Historical,,100.0,Some (~51 to 100 deaths),,,,,,,,,100.0,Some (~51 to 100 deaths),,,,,,,,,-15.4,,,36
1923,3.0,11.0,,,Papandayan,Java,Indonesia,2665.0,Stratovolcano,Historical,1.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,-7.32,,,37
1928,1.0,23.0,,,Santorini,Greece,Greece,329.0,Shield volcano,Historical,2.0,48.0,Few (~1 to 50 deaths),,,,,,,,,48.0,Few (~1 to 50 deaths),,,,,,,,,36.404,,,38
1947,9.0,16.0,,,Akagi,Honshu-Japan,Japan,1828.0,Stratovolcano,Historical,,699.0,Many (~101 to 1000 deaths),,,,,,,,,699.0,Many (~101 to 1000 deaths),,,,,,,,,36.53,,,39
1963,3.0,18.0,Tsunami,,Agung,Lesser Sunda Is,Indonesia,3142.0,Stratovolcano,Historical,5.0,1028.0,Very Many (~1001 or more deaths),,Many (~101 to 1000 deaths),624.0,Many (~101 to 1000 deaths),,,,,1028.0,Very Many (~1001 or more deaths),,Many (~101 to 1000 deaths),624.0,Many (~101 to 1000 deaths),,,,,-8.342,,,40
1963,5.0,5.0,,,Semeru,Java,Indonesia,3676.0,Stratovolcano,Historical,2.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,-8.108,,,41
1965,9.0,28.0,Tsunami,,Taal,Luzon-Philippines,Philippines,400.0,Stratovolcano,Historical,4.0,355.0,Many (~101 to 1000 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),355.0,Many (~101 to 1000 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),14.002,,,42
1973,1.0,27.0,,,Vestmannaeyjar,Iceland-S,Iceland,279.0,Submarine volcano,Historical,3.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,63.43,,,43
1974,2.0,11.0,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784.0,Stratovolcano,Historical,3.0,4.0,Few (~1 to 50 deaths),,,,,,,,,4.0,Few (~1 to 50 deaths),,,,,,,,,2.78,,,44
1975,11.0,29.0,Tsunami,Earthquake,Kilauea,Hawaiian Is,United States,1222.0,Shield volcano,Historical,0.0,,,,,,,,,,,2.0,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),4.0,MODERATE (~$1 to $5 million),,,19.425,,,45
1982,5.0,27.0,,,Chichon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
1986,8.0,21.0,,,Oku Volc Field,Africa-W,Cameroon,3011.0,Maar,Radiocarbon,3.0,1700.0,Very Many (~1001 or more deaths),,,300.0,Many (~101 to 1000 deaths),,,,,1700.0,Very Many (~1001 or more deaths),,,300.0,Many (~101 to 1000 deaths),,,,,6.25,,,47
1992,8.0,15.39258114374034,,,Semeru,Java,Indonesia,3676.0,Stratovolcano,Historical,3.0,3.0,Few (~1 to 50 deaths),,,,,,,,,3.0,Few (~1 to 50 deaths),,,,,,,,,-8.108,,,48
1994,1.0,15.0,,,Yasur,Vanuatu-SW Pacific,Vanuatu,361.0,Stratovolcano,Historical,3.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,-19.52,,,49
1998,10.0,30.0,,,San Cristobal,Nicaragua,Nicaragua,1745.0,Stratovolcano,Historical,,1620.0,Very Many (~1001 or more deaths),,,,,,,,,1620.0,Very Many (~1001 or more deaths),,,,,,,,,12.702,,,50
2004,6.0,8.0,,,Tengger Caldera,Java,Indonesia,2329.0,Stratovolcano,Historical,2.0,2.0,Few (~1 to 50 deaths),,,5.0,Few (~1 to 50 deaths),,,,,,,,,,,,,,,-7.942,,,51
2007,4.0,18.0,,,Huila,Colombia,Colombia,5365.0,Stratovolcano,Historical,,,,,,,,,MODERATE (~$1 to $5 million),,Few (~1 to 50 houses),,,,,,,,MODERATE (~$1 to $5 million),,Few (~1 to 50 houses),2.92,,,52
2008,5.0,2.0,,,Chaiten,Chile-S,Chile,962.0,Caldera,Holocene,,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,-42.833,,,53
2008,8.0,8.0,Tsunami,,Kasatochi,Aleutian Is,United States,314.0,Stratovolcano,Historical,3.0,,,,,,,,,,,,,,,,,,,,,52.18,,,54
2017,12.0,18.0,,,Merapi,Java,Indonesia,2947.0,Stratovolcano,Historical,,8.0,Few (~1 to 50 deaths),,,8.0,Few (~1 to 50 deaths),,,,,8.0,Few (~1 to 50 deaths),,,8.0,Few (~1 to 50 deaths),,,,,-7.542,,,55
-4050,8.0,15.39258114374034,,,Masaya,Nicaragua,Nicaragua,635.0,Caldera,Historical,6.0,,,,,,,,,,,,,,,,,,,,,11.984,,,56
-2420,8.0,15.39258114374034,,,Vesuvius,Italy,Italy,1281.0,Complex volcano,Historical,5.0,,,,,,,,,,,,,,,,,,,,,40.821,,,57
79,8.0,25.0,Tsunami,Earthquake,Vesuvius,Italy,Italy,1281.0,Complex volcano,Historical,5.0,2100.0,Very Many (~1001 or more deaths),,,,,,,,,2100.0,Very Many (~1001 or more deaths),,,,,,,,,40.821,,,58
1375,8.0,15.39258114374034,,,Chichon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
1376,8.0,15.39258114374034,,,Kelut,Java,Indonesia,1731.0,Stratovolcano,Historical,3.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-7.93,,,60
1538,9.0,29.0,,,Campi Flegrei,Italy,Italy,458.0,Caldera,Historical,3.0,24.0,Few (~1 to 50 deaths),,,,,,,,,24.0,Few (~1 to 50 deaths),,,,,,,,,40.827,,,61
1664,4.0,15.0,,,Unzen,Kyushu-Japan,Japan,1500.0,Complex volcano,Historical,2.0,30.0,Few (~1 to 50 deaths),,,,,,,,,30.0,Few (~1 to 50 deaths),,,,,,,,,32.75,,,62
1698,8.0,15.39258114374034,,,Cotopaxi,Ecuador,Ecuador,5911.0,Stratovolcano,Historical,3.0,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,-0.677,,,63
1775,8.0,15.39258114374034,,,Gamalama,Halmahera-Indonesia,Indonesia,1715.0,Stratovolcano,Historical,3.0,1300.0,Very Many (~1001 or more deaths),,,,,,,,,1300.0,Very Many (~1001 or more deaths),,,,,,,,,0.8,,,64
1800,10.0,30.0,,,Mayon,Luzon-Philippines,Philippines,2462.0,Stratovolcano,Historical,2.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,13.257,,,65
1822,3.0,9.0,,,Usu,Hokkaido-Japan,Japan,731.0,Stratovolcano,Historical,4.0,50.0,Few (~1 to 50 deaths),,,53.0,Some (~51 to 100 deaths),,,,Some (~51 to 100 houses),50.0,Few (~1 to 50 deaths),,,53.0,Some (~51 to 100 deaths),,,,Some (~51 to 100 houses),42.53,,,66
1822,10.0,8.0,,,Galunggung,Java,Indonesia,2168.0,Stratovolcano,Historical,5.0,4011.0,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),4011.0,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),-7.25,,,67
1840,2.0,2.0,Tsunami,,Gamalama,Halmahera-Indonesia,Indonesia,1715.0,Stratovolcano,Historical,2.0,,,,,,,,,,,,,,,,,,,,,0.8,,,68
1874,7.0,3.0,,,Miyake-jima,Izu Is-Japan,Japan,815.0,Stratovolcano,Historical,3.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,34.08,,,69
1911,11.0,3.0,Tsunami,,Piparo,Trinidad,Trinidad,140.0,Mud volcano,Historical,,,,,,,,,,,,,,,,,,,,,,10.0,,,70
1911,11.0,8.0,,,Semeru,Java,Indonesia,3676.0,Stratovolcano,Historical,3.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-8.108,,,71
1916,7.0,3.0,Tsunami,,Stromboli,Italy,Italy,926.0,Stratovolcano,Historical,3.0,,,,,,,,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,38.789,,,72
1928,5.0,13.0,,,Dieng Volc Complex,Java,Indonesia,2565.0,Complex volcano,Historical,2.0,40.0,Few (~1 to 50 deaths),,,,,,,,,40.0,Few (~1 to 50 deaths),,,,,,,,,-7.2,,,73
1933,12.0,25.0,Tsunami,,Bulusan,Luzon-Philippines,Philippines,1565.0,Stratovolcano,Historical,2.0,,,,,,,,,,,9.0,Few (~1 to 50 deaths),,,,,,SEVERE (~>$5 to $24 million),,,12.77,,,74
1944,8.0,26.0,,,Usu,Hokkaido-Japan,Japan,731.0,Stratovolcano,Historical,2.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,42.53,,,75
1953,12.0,24.0,,,Ruapehu,New Zealand,New Zealand,2797.0,Stratovolcano,Historical,,151.0,Many (~101 to 1000 deaths),,,,,,,,,151.0,Many (~101 to 1000 deaths),,,,,,,,,-39.28,,,76
1966,4.0,26.0,,,Kelut,Java,Indonesia,1731.0,Stratovolcano,Historical,4.0,215.0,Many (~101 to 1000 deaths),78.0,Some (~51 to 100 deaths),86.0,Some (~51 to 100 deaths),,,,,215.0,Many (~101 to 1000 deaths),78.0,Some (~51 to 100 deaths),86.0,Some (~51 to 100 deaths),,,,,-7.93,,,77
1966,8.0,14.0,,,Lengai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
1969,8.0,26.0,,,Narugo,Honshu-Japan,Japan,462.0,Caldera,Historical,,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,38.73,,,79
1971,8.0,12.0,,,Hudson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
1973,12.0,5.0,,,Iliwerung,Lesser Sunda Is,Indonesia,1018.0,Complex volcano,Historical,2.0,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,-8.54,,,81
1979,3.0,8.0,,,Karkar,New Guinea-NE of,Papua New Guinea,1839.0,Stratovolcano,Historical,2.0,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,-4.649,,,82
1981,3.0,17.0,,,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,2.0,,,,,,,10.0,SEVERE (~>$5 to $24 million),,,,,,,,,,,,,37.734,,,83
1982,3.0,29.0,,Earthquake,Chichon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
1993,1.0,14.0,,,Galeras,Colombia,Colombia,4276.0,Complex volcano,Historical,2.0,9.0,Few (~1 to 50 deaths),,,,,,,,,9.0,Few (~1 to 50 deaths),,,,,,,,,1.22,,,85
2002,8.0,28.0,,Earthquake,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,3.0,,,,,32.0,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,,,32.0,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),37.734,,,86
2008,11.0,20.0,,,Huila,Colombia,Colombia,5365.0,Stratovolcano,Historical,,10.0,Few (~1 to 50 deaths),,Few (~1 to 50 deaths),,Few (~1 to 50 deaths),,,,,10.0,Few (~1 to 50 deaths),,Few (~1 to 50 deaths),,Few (~1 to 50 deaths),,,,,2.92,,,87
2011,6.0,4.0,,,Puyehue,Chile-C,Chile,2236.0,Stratovolcano,Holocene,4.0,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,MODERATE (~$1 to $5 million),,,-40.59,,,88
2013,12.0,13.0,,,Okataina,New Zealand,New Zealand,1111.0,Lava dome,Historical,,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,-38.12,,,89
2014,9.0,27.0,,,On-take,Honshu-Japan,Japan,3063.0,Complex volcano,Historical,3.0,55.0,Some (~51 to 100 deaths),,,70.0,Some (~51 to 100 deaths),,,,,55.0,Some (~51 to 100 deaths),,,70.0,Some (~51 to 100 deaths),,,,,35.9,,,90
2014,12.0,18.0,,,Gamalama,Halmahera-Indonesia,Indonesia,1715.0,Stratovolcano,Historical,,1.0,Few (~1 to 50 deaths),,,4.0,Few (~1 to 50 deaths),,,,,1.0,Few (~1 to 50 deaths),,,4.0,Few (~1 to 50 deaths),,,,,0.8,,,91
2018,1.0,13.0,,,Mayon,Luzon-Philippines,Philippines,2462.0,Stratovolcano,Historical,,,,,,1972.0,Very Many (~1001 or more deaths),3.564,MODERATE (~$1 to $5 million),,,,,,,1972.0,Very Many (~1001 or more deaths),3.564,MODERATE (~$1 to $5 million),,,13.257,,,92
2018,8.0,25.0,,,Manam,New Guinea-NE of,Papua New Guinea,1807.0,Stratovolcano,Historical,4.0,,,,,,,,SEVERE (~>$5 to $24 million),164.0,Many (~101 to 1000 houses),,,,,,,,SEVERE (~>$5 to $24 million),164.0,Many (~101 to 1000 houses),-4.1,,,93
-1750,8.0,15.39258114374034,,,Veniaminof,Alaska Peninsula,United States,2507.0,Stratovolcano,Historical,6.0,,,,,,,,,,,,,,,,,,,,,56.17,,,94
847,8.0,15.39258114374034,,,Bona-Churchill,Alaska-E,United States,5005.0,Stratovolcano,Radiocarbon,6.0,,,,,,,,,,,,,,,,,,,,,61.38,,,95
930,8.0,15.39258114374034,,,Ceboruco,Mexico,Mexico,2280.0,Stratovolcano,Historical,6.0,,,,,,,,,,,,,,,,,,,,,21.125,,,96
1158,1.0,19.0,,,Hekla,Iceland-S,Iceland,1491.0,Stratovolcano,Historical,4.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.98,,,97
1329,7.0,15.39258114374034,,,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,1.0,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,37.734,,,98
1510,10.0,15.0,,,Hekla,Iceland-S,Iceland,1491.0,Stratovolcano,Historical,4.0,,,,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,63.98,,,99
1615,3.0,15.39258114374034,,,Banda Api,Banda Sea,Pacific Ocean,640.0,Caldera,Historical,3.0,,,,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),-4.525,,,100
1617,8.0,15.39258114374034,,,Fuego,Guatemala,Guatemala,3763.0,Stratovolcano,Historical,3.0,,,,,,,,,,,,,,,,,,,,,14.473,,,101
1646,7.0,19.0,,,Makian,Halmahera-Indonesia,Indonesia,1357.0,Stratovolcano,Historical,4.0,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,0.32,,,102
1677,11.0,22.0,,,La Palma,Canary Is,Spain,2426.0,Stratovolcano,Historical,2.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,28.58,,,103
1784,8.0,15.39258114374034,,,Hualalai,Hawaiian Is,United States,2523.0,Shield volcano,Historical,0.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,19.692,,,104
1800,8.0,15.39258114374034,,,St. Helens,US-Washington,United States,2549.0,Stratovolcano,Historical,5.0,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,46.2,,,105
1820,6.0,11.0,,,Banda Api,Banda Sea,Pacific Ocean,640.0,Caldera,Historical,2.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-4.525,,,106
1827,6.0,27.0,Tsunami,Earthquake,Avachinsky,Kamchatka,Russia,2741.0,Stratovolcano,Historical,2.0,,,,,,,,,,,,,,,,,,,,,53.255,,,107
1843,11.0,17.0,,,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,2.0,56.0,Some (~51 to 100 deaths),,,,Some (~51 to 100 deaths),,,,,56.0,Some (~51 to 100 deaths),,,,Some (~51 to 100 deaths),,,,,37.734,,,108
1847,12.0,4.0,,,Dieng Volc Complex,Java,Indonesia,2565.0,Complex volcano,Historical,2.0,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,-7.2,,,109
1857,4.0,17.0,Tsunami,Earthquake,Umboi,New Guinea-NE of,Papua New Guinea,1548.0,Complex volcano,Holocene,,,,,,,,,,,,,,,,,,,,,,-5.589,,,110
1866,9.0,12.0,Tsunami,,Ofu-Olosega,Samoa-SW Pacific,United States,639.0,Shield volcano,Historical,2.0,,,,,,,,,,,,,,,,,,,,,-14.175,,,111
1870,8.0,15.39258114374034,,,Ruang,Sangihe Is-Indonesia,Indonesia,725.0,Stratovolcano,Historical,2.0,,Few (~1 to 50 deaths),,,,,,,40.0,Few (~1 to 50 houses),,Few (~1 to 50 deaths),,,,,,,40.0,Few (~1 to 50 houses),2.28,,,112
1870,8.0,15.39258114374034,,,Iliwerung,Lesser Sunda Is,Indonesia,1018.0,Complex volcano,Historical,3.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-8.54,,,113
1885,5.0,25.0,,Earthquake,Purace,Colombia,Colombia,4650.0,Stratovolcano,Historical,3.0,,Some (~51 to 100 deaths),,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,Some (~51 to 100 deaths),,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),2.32,,,114
1897,3.0,26.0,Tsunami,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,851.0,Stratovolcano,Historical,2.0,,,,,,,,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),-10.38,,,115
1902,5.0,7.0,Tsunami,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,1220.0,Stratovolcano,Historical,4.0,1680.0,Very Many (~1001 or more deaths),,,,Many (~101 to 1000 deaths),,,,,1680.0,Very Many (~1001 or more deaths),,,,Many (~101 to 1000 deaths),,,,,13.33,,,116
1903,8.0,15.39258114374034,,,Karthala,Indian O-W,Comoros,2361.0,Shield volcano,Historical,,17.0,Few (~1 to 50 deaths),,,,,,,,,17.0,Few (~1 to 50 deaths),,,,,,,,,-11.75,,,117
1932,10.0,1.0,,,Kusatsu-Shirane,Honshu-Japan,Japan,2176.0,Stratovolcano,Historical,3.0,2.0,Few (~1 to 50 deaths),,,7.0,Few (~1 to 50 deaths),,,,,2.0,Few (~1 to 50 deaths),,,7.0,Few (~1 to 50 deaths),,,,,36.62,,,118
1951,8.0,15.39258114374034,Tsunami,,Kavachi,Solomon Is-SW Pacifi,Solomon Is.,-20.0,Submarine volcano,Historical,2.0,,,,,,,,,,,,,,,,,,,,,-9.02,,,119
