Year,Month,Day,Flag.Tsunami,Flag.Earthquake,Volcano.Name,Location,Country,Elevation,Volcano.Type,Status,Volcanic.Explosivity.Index,Volcano...Deaths,Volcano...Deaths.Description,Volcano...Missing,Volcano...Missing.Description,Volcano...Injuries,Volcano...Injuries.Description,Volcano...Damage..in.M..,Volcano...Damage.Description,Volcano...Houses.destroyed,Volcano...Houses.destroyed.Description,Total.Effects...Deaths,Total.Effects...Deaths.Description,Total.Effects...Missing,Total.Effects...Missing.Description,Total.Effects...Injuries,Total.Effects...Injuries.Description,Total.Effects...Damages.in.million.Dollars,Total.Effects...Damage.Description,Total.Effects...Houses.Destroyed,Total.Effects...Houses.Destroyed.Description,Coordinates,Earthquakes...Houses.damaged.Description,Total.Effects...Houses.Damaged.Description,RowNumber
1892,5.0,21.0,,,Sorikmarapi,Sumatra,Indonesia,2145.0,Stratovolcano,Historical,2.0,180.0,Many (~101 to 1000 deaths),,,,,,,,,180.0,Many (~101 to 1000 deaths),,,,,,,,,0.686,,,758
1917,4.0,15.39258114374034,,,Calbuco,Chile-S,Chile,2003.0,Stratovolcano,Historical,3.0,,,,,,,,,,,,,,,,,,,,,-41.326,,,759
1938,7.0,16.0,,,Asama,Honshu-Japan,Japan,2560.0,Complex volcano,Historical,1.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,36.4,,,760
1941,7.0,13.0,,,Asama,Honshu-Japan,Japan,2560.0,Complex volcano,Historical,2.0,1.0,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,1.0,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,36.4,,,761
1943,2.0,20.0,,,Michoacan-Guanajuato,Mexico,Mexico,3860.0,Cinder cone,Historical,4.0,3.0,Few (~1 to 50 deaths),,,,,,,,,103.0,Few (~1 to 50 deaths),,,,,,,,,19.48,,,762
1944,12.0,4.0,,,Dieng Volc Complex,Java,Indonesia,2565.0,Complex volcano,Historical,2.0,117.0,Many (~101 to 1000 deaths),,,250.0,Many (~101 to 1000 deaths),,,,,117.0,Many (~101 to 1000 deaths),,,250.0,Many (~101 to 1000 deaths),,,,,-7.2,,,763
1953,10.0,5.0,,,Oshima,Izu Is-Japan,Japan,758.0,Stratovolcano,Historical,1.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,34.73,,,764
1973,4.0,5.0,,,Hudson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765
1990,4.0,18.0,,,Aso,Kyushu-Japan,Japan,1592.0,Caldera,Historical,2.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,32.88,,,766
1991,6.0,15.0,,Earthquake,Pinatubo,Luzon-Philippines,Philippines,1486.0,Stratovolcano,Historical,6.0,350.0,Many (~101 to 1000 deaths),,,4.0,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),,,800.0,Many (~101 to 1000 deaths),,,4.0,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),,,15.13,,,767
1992,7.0,12.0,,,Pinatubo,Luzon-Philippines,Philippines,1486.0,Stratovolcano,Historical,1.0,6.0,Few (~1 to 50 deaths),,,,,,,,,6.0,Few (~1 to 50 deaths),,,,,,,,,15.13,,,768
1995,4.0,2.0,,,Fogo,Cape Verde Is,Cape Verde,2829.0,Stratovolcano,Historical,2.0,,,,,20.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),10.0,Few (~1 to 50 houses),,,,,20.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),10.0,Few (~1 to 50 houses),14.95,,,769
1996,12.0,3.0,,,Manam,New Guinea-NE of,Papua New Guinea,1807.0,Stratovolcano,Historical,3.0,13.0,Few (~1 to 50 deaths),,,29.0,Few (~1 to 50 deaths),,,,,13.0,Few (~1 to 50 deaths),,,29.0,Few (~1 to 50 deaths),,,,,-4.1,,,770
2000,11.0,3.0,,,Kilauea,Hawaiian Is,United States,1222.0,Shield volcano,Historical,,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,19.425,,,771
2005,10.0,1.0,,,Santa Ana,El Salvador,El Salvador,2365.0,Stratovolcano,Historical,3.0,2.0,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,,,2.0,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,,,13.853,,,772
2006,5.0,20.0,Tsunami,,Soufriere Hills,W Indies,Montserrat,915.0,Stratovolcano,Historical,2.0,,,,,,,,,,,,,,,,,,,,,16.72,,,773
2015,4.0,22.0,,,Calbuco,Chile-S,Chile,2003.0,Stratovolcano,Historical,,,,,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),-41.326,,,774
2017,9.0,12.0,,,Campi Flegrei,Italy,Italy,458.0,Caldera,Historical,,3.0,Few (~1 to 50 deaths),,,,,,,,,3.0,Few (~1 to 50 deaths),,,,,,,,,40.827,,,775
2018,1.0,5.0,,,Kadovar,New Guinea-NE of,Papua New Guinea,365.0,Stratovolcano,Holocene,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-3.62,,,776
2018,3.0,21.0,,,Ijen,Java,Indonesia,2799.0,Stratovolcano,Historical,,,,,,30.0,Few (~1 to 50 deaths),,,,,,,,,30.0,Few (~1 to 50 deaths),,,,,-8.058,,,777
1631,2.0,14.0,,Earthquake,Dama Ali,Africa-NE,Ethiopia,1068.0,Shield volcano,Historical,,50.0,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,50.0,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,11.28,,,778
1659,11.0,11.0,Tsunami,,Teon,Banda Sea,Pacific Ocean,655.0,Stratovolcano,Historical,4.0,,,,,,,,,,,,,,,,,,,,,-6.92,,,779
1664,8.0,15.39258114374034,Tsunami,,Iwo-Tori-shima,Ryukyu Is,Japan,217.0,Complex volcano,Historical,,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),27.85,,,780
1707,5.0,15.39258114374034,Tsunami,,Santorini,Greece,Greece,329.0,Shield volcano,Historical,,,,,,,,,,,,,,,,,,,,,,36.404,,,781
1729,6.0,30.0,,,Krafla,Iceland-NE,Iceland,650.0,Caldera,Historical,2.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,65.73,,,782
1780,2.0,9.0,,,Sakura-jima,Kyushu-Japan,Japan,1117.0,Stratovolcano,Historical,4.0,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,31.58,,,783
1835,11.0,1.0,,Earthquake,Banda Api,Banda Sea,Pacific Ocean,640.0,Caldera,Historical,,,Many (~101 to 1000 deaths),,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,Many (~101 to 1000 deaths),,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),-4.525,,,784
1843,2.0,17.0,Tsunami,,Soufriere Guadeloupe,W Indies,Guadeloupe,1467.0,Stratovolcano,Historical,,,,,,,,,,,,,,,,,,,,,,16.05,,,785
1854,2.0,18.0,,,Shiveluch,Kamchatka,Russia,3283.0,Stratovolcano,Historical,5.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,56.653,,,786
1856,7.0,26.0,Tsunami,,Shishaldin,Aleutian Is,United States,2857.0,Stratovolcano,Historical,,,,,,,,,,,,,,,,,,,,,,54.75,,,787
1860,8.0,18.0,,,Fuego,Guatemala,Guatemala,3763.0,Stratovolcano,Historical,2.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,14.473,,,788
1868,9.0,5.0,Tsunami,Earthquake,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,,,,,,,,,,,,,,,,,,,,,,37.734,,,789
1872,4.0,17.0,,,Merapi,Java,Indonesia,2947.0,Stratovolcano,Historical,4.0,170.0,Many (~101 to 1000 deaths),,,,,,,,Some (~51 to 100 houses),170.0,Many (~101 to 1000 deaths),,,,,,,,Some (~51 to 100 houses),-7.542,,,790
1875,1.0,29.0,,,Kelut,Java,Indonesia,1731.0,Stratovolcano,Historical,0.0,,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),-7.93,,,791
1878,2.0,11.0,Tsunami,Earthquake,Yasur,Vanuatu-SW Pacific,Vanuatu,361.0,Stratovolcano,Historical,,,,,,,,,,,,,,,,,,,,,,-19.52,,,792
1909,4.0,28.0,,Earthquake,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793
1914,1.0,18.0,,,Pago,New Britain-SW Pac,Papua New Guinea,742.0,Caldera,Historical,3.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-5.58,,,794
1917,4.0,1.0,,,Okataina,New Zealand,New Zealand,1111.0,Lava dome,Historical,1.0,2.0,Few (~1 to 50 deaths),,,3.0,Few (~1 to 50 deaths),,,,,2.0,Few (~1 to 50 deaths),,,3.0,Few (~1 to 50 deaths),,,,,-38.12,,,795
1930,3.0,17.0,Tsunami,,Krakatau,Indonesia,Indonesia,813.0,Caldera,Historical,2.0,,,,,,,,,,,,,,,,,,,,,-6.102,,,796
1930,9.0,11.0,Tsunami,,Stromboli,Italy,Italy,926.0,Stratovolcano,Historical,3.0,5.0,Few (~1 to 50 deaths),,,20.0,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,,6.0,Few (~1 to 50 deaths),,,20.0,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,,38.789,,,797
1934,8.0,15.39258114374034,,,Hood,US-Oregon,United States,3426.0,Stratovolcano,Historical,,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,45.374,,,798
1946,11.0,13.0,Tsunami,,Sarychev Peak,Kuril Is,Russia,1496.0,Stratovolcano,Historical,4.0,,,,,,,,,,,,,,,,,,,,,48.092,,,799
1954,2.0,15.39258114374034,Tsunami,,Stromboli,Italy,Italy,926.0,Stratovolcano,Historical,,,,,,,,,,,,,,,,,,,,,,38.789,,,800
1955,10.0,13.0,,,Sakura-jima,Kyushu-Japan,Japan,1117.0,Stratovolcano,Historical,3.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,31.58,,,801
1962,10.0,15.39258114374034,,,Merapi,Java,Indonesia,2947.0,Stratovolcano,Historical,,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,-7.542,,,802
1990,2.0,10.0,,,Kelut,Java,Indonesia,1731.0,Stratovolcano,Historical,4.0,32.0,Few (~1 to 50 deaths),,,,,,,,,32.0,Few (~1 to 50 deaths),,,,,,,,,-7.93,,,803
1993,6.0,23.0,,,Unzen,Kyushu-Japan,Japan,1500.0,Complex volcano,Historical,1.0,1.0,Few (~1 to 50 deaths),,,,,,,,Few (~1 to 50 houses),1.0,Few (~1 to 50 deaths),,,,,,,,Few (~1 to 50 houses),32.75,,,804
2010,8.0,6.0,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784.0,Stratovolcano,Historical,3.0,4.0,Few (~1 to 50 deaths),,,5.0,Few (~1 to 50 deaths),,,,Few (~1 to 50 houses),4.0,Few (~1 to 50 deaths),,,5.0,Few (~1 to 50 deaths),,,,Few (~1 to 50 houses),2.78,,,805
2014,11.0,10.0,,,Kilauea,Hawaiian Is,United States,1222.0,Shield volcano,Historical,,,,,,,,14.5,SEVERE (~>$5 to $24 million),1.0,Few (~1 to 50 houses),,,,,,,14.5,SEVERE (~>$5 to $24 million),1.0,Few (~1 to 50 houses),19.425,,,806
2016,5.0,9.0,,,Sinabung,Sumatra,Indonesia,2460.0,Stratovolcano,Holocene,,1.0,Few (~1 to 50 deaths),,,4.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),3.0,Few (~1 to 50 houses),1.0,Few (~1 to 50 deaths),,,4.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,3.17,,,807
2019,1.0,7.0,,,Manam,New Guinea-NE of,Papua New Guinea,1807.0,Stratovolcano,Historical,4.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-4.1,,,808
2019,5.0,7.0,,,Sinabung,Sumatra,Indonesia,2460.0,Stratovolcano,Holocene,,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,MODERATE (~$1 to $5 million),,,3.17,,,809
450,8.0,15.39258114374034,,,Ilopango,El Salvador,El Salvador,450.0,Caldera,Historical,6.0,30000.0,Very Many (~1001 or more deaths),,,,,,,,,30000.0,Very Many (~1001 or more deaths),,,,,,,,,13.672,,,810
1565,8.0,15.39258114374034,,Earthquake,Pacaya,Guatemala,Guatemala,2552.0,Complex volcano,Historical,3.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,14.381,,,811
